countryname,iso3,incomegroup,y2021GGXWDG_NGDP,y2021NGDPDPC,hdi,un_population2020,pop_total,vaccinesdelivered_archive_lag,vaccinesdelivered,total_donations,informcovid19risk,covid19riskclass,gap_percapita,gap_gghe,uhc,che,h7_vaccinationpolicy,e4_internationalsupport,h5_investmentinvaccines,stringencyindex,economicsupportindex,h7_name,total_vaccinations,persons_vaccinated_1plus_dose,total_vaccinations_per100,persons_vaccinated_1plus_dose_pe,persons_fully_vaccinated,persons_fully_vaccinated_per100,vaccines_used,number_vaccines_types_used,first_vaccine_date,deathscumulativetotal,deathsnewlyreportedinlast7days,vaccine_willingness_monthly,v3_vaccinefinancialsupportsummar,v3_name,population,total_boosters,total_boosters_per_hundred,dec40target,dec40target_name,securedvaccineofpopulation,cost_gdp_income40,pricebracket_che40,utilrate_lag,donationsoftotal,deliveredpopulation,casescumulativetotalper100000pop,casesnewlyreportedinlast7daysper,deathscumulativetotalper100000po,deathsnewlyreportedinlast7dayspe
Denmark,DNK,High Income Economies,38.755,67919.59,.9399999999999999,5792.203,5792203,12136431,14185632,0,2.1,Low,,,85,6003.325195309999,5,95666655,3000000,11.11,0,Universal availability,15002820,4771581,257.7,81.947,4736323,81.342,,5,16dec2020,8719,20,92.80115067958832,5,All eligible groups are fully government-funded,5882259,3638964,61.86,1,Target reached,632.304443359375,.0157126979123402,.1777681476981678,123.6180554233778,0,244.9090959001264,58939.02544506814,2.69327577089408,150.5299451693941,.345291765499241
Dominican Republic,DOM,Upper Middle Income Economies,66.14400000000001,8491.620000000001,.756,10847.904,10847904,17300296,17859794,80000,4.3,Medium,.24,.1,66,491.0593566899999,5,0,748800,5.56,0,Universal availability,15972891,7322815,147.244,67.504,6095810,56.193,,5,16feb2021,4384,0,94.61230039596558,5,All eligible groups are fully government-funded,11228821,2554266,22.75,1,Target reached,286.8542175292969,.0911957906736288,1.576998766951242,92.32727000740334,.4479334980011527,164.6382010755257,6094.965442172054,0,40.41333699118282,0
Algeria,DZA,Lower Middle Income Economies,58.48,3638.33,.748,43851.043,43851043,34212029,32159600,200000,3.9,Medium,1.21,.8,75,248.20587158,5,0,1642713755,11.11,0,Universal availability,15267442,7840131,34.817,17.879,6481186,14.78,,4,30jan2021,6881,0,61.6753101348877,5,All eligible groups are fully government-funded,44903228,575651,1.28,0,Target not reached,115.3007431030273,.1495191475209781,2.19172897295728,44.62594720704814,.6218982823169443,73.33827840765383,619.919120281814,.0091217898739604,15.6917590306803,0
Ecuador,ECU,Upper Middle Income Economies,60.954,5884.15,.759,17643.06,17643060,54325507,56450516,9168470,3.9,Medium,,,80,486.49215698,5,0,0,11.11,0,Universal availability,39495110,15329151,223.856,86.88500000000001,14233323,80.67400000000001,,4,20jan2021,36019,0,89.9603009223938,5,All eligible groups are fully government-funded,18001002,10554926,58.64,1,Target reached,302.1527404785156,.1316077938189883,1.591803668135674,72.70085854882127,16.24160530259812,319.9587599883467,6020.922674411355,0,204.1539279467394,0
Egypt,EGY,Lower Middle Income Economies,91.36,3851.75,.707,102334.403,102334403,101891666,118319937,16137240,3.6,Medium,.8,2.3,70,149.84031677,5,0,0,10.29,50,Universal availability,112673535,56907319,110.103,55.609,42337175,41.371,,10,24jan2021,24830,0,85.67096590995789,5,All eligible groups are fully government-funded,110990096,15217352,13.71,0,Target not reached,223.8399353027344,.1412345037969754,3.6305315667146,110.5816986052618,13.63864823558856,115.6208797152997,504.2517324305884,0,24.26359002651337,0
Eritrea,ERI,Low Income Economies,175.106,625.974,.459,3546.427,3546427,0,,,5.9,High,3.82,107.6,50,25.2679348,0,0,0,0,0,No availability,,0,,0,0,0,,,,103,0,65.32660126686096,0,No availability,3684041,,,,Not available,120,.8294274203081917,20.54778137230274,,,,287.3032491575324,0,2.904331599099601,0
Western Sahara,ESH,Unclassified Economies,,,,597.33,597330,,,,,,,,,,,,,,,,,,,,,,,,,,,37.97590136528015,,,576005,,,,Not available,,,,,,,,,,
Spain,ESP,High Income Economies,120.224,30536.86,.904,46754.783,46754783,163458650,200989379,0,2.8,Low,,,86,2711.19287109,5,0,26589481,5.56,0,Universal availability,112806846,41326543,238.3,87.31100000000001,37482295,79.18899999999999,,4,30dec2020,121416,203,93.87038350105286,5,All eligible groups are fully government-funded,47558632,26559282,55.85,1,Target reached,632.304443359375,.0349479285034545,.3936274734932252,69.01246645558372,0,429.8798242738075,29709.37754111702,47.75554193033042,259.6868003857488,.4341801778868272
Estonia,EST,High Income Economies,19.961,27100.74,.892,1326.539,1326539,2778787,4495270,0,3,Low,,,78,1598.81884766,5,331000,0,11.11,75,Universal availability,2204078,845066,165.8,63.588,842103,63.365,,9,23dec2020,3001,0,53.50970029830933,5,All eligible groups are fully government-funded,1326064,601029,45.32,1,Target reached,632.304443359375,.0393789985070518,.6674927566446524,79.31799018780497,0,338.8720572859147,46664.96801074073,6.633804207791855,226.2278003134473,0
Ethiopia,ETH,Low Income Economies,57.113,939.511,.485,114963.583,114963583,65456667,73608450,13900000,6,High,.62,11.8,38,26.74220467,5,0,0,22.22,0,Universal availability,54041862,44073766,47.008,38.337,37637944,32.739,,4,13mar2021,7574,0,71.88259959220886,5,All eligible groups are fully government-funded,123379928,2855358,2.31,0,Target not reached,114.3370742797852,.5526279096253264,19.41500360224414,82.56127981585131,18.88370153154971,64.02762342575909,435.7084103754839,.0086984066945791,6.588173230474211,0
Finland,FIN,High Income Economies,72.224,53522.57,.9379999999999999,5540.718,5540718,15436650,19871515,0,2.1,Low,,,83,4450.30273438,5,9626908,5543828,11.11,50,Universal availability,13261002,4547283,240,82.29900000000001,4364702,78.995,,5,23dec2020,9750,0,89.35824930667877,5,All eligible groups are fully government-funded,5540745,4342272,78.37,1,Target reached,632.304443359375,.019939251796018,.2398039108116267,85.90595757499199,0,358.6451250541897,26718.01741218376,1.588241812703697,175.9699735666027,0
Fiji,FJI,Upper Middle Income Economies,86.792,5127.44,.743,896.444,896444,1743498,1818980,1249500,4.2,Medium,,,61,235.67501831,5,0,0,25.74,50,Universal availability,1555182,712025,173.483,79.428,641194,71.526,,3,07mar2021,883,0,76.18300020694733,5,All eligible groups are fully government-funded,929769,172046,18.5,1,Target reached,268.2824096679688,.1510305337556364,3.285880724877582,89.19895520384881,68.69234406095724,202.9106112595991,7688.266082432366,0,98.50029672796069,0
Falkland Islands (Malvinas),FLK,Unclassified Economies,,,,3.483,3483,,,,,,,,,,,,,,,,9390,3220,269.595,92.449,2976,85.444,,1,,0,0,,,,3801,,,1,Target reached,,,,,,,55211.02497846684,0,0,0
France,FRA,High Income Economies,115.825,45028.27,.901,65273.512,65273512,208449220,249683120,0,3,Low,,,84,4491.735351559999,5,1311754455,600266651.2,11.11,0,Universal availability,158014193,54673588,234.7,81.214,53184085,79.002,,9,23dec2020,163680,62,87.11019158363342,5,All eligible groups are fully government-funded,67813000,47684625,70.31999999999999,1,Target reached,632.304443359375,.0237006662703231,.2375919141427949,75.80464585091755,0,382.5182870503428,59830.41482431648,26.76583420239438,250.7602164872023,.0949849304875766
Faroe Islands,FRO,High Income Economies,,,,48.865,48865,,,,,,,,,,5,0,0,11.11,0,Universal availability,103894,41715,212.614,85.368,40895,83.69,,2,,28,0,,5,All eligible groups are fully government-funded,53117,21284,40.07,1,Target reached,,,,,,,70926.02066919062,0,57.30072649135374,0
Micronesia (Federated States of),FSM,Lower Middle Income Economies,15.099,3855.22,.62,115.021,115021,84680,,,5,High,13.81,13,48,415.19827271,,,,,,,198749,83871,172.791,72.917,80910,70.342,,4,13jan2021,65,0,,,,114178,,,,Not available,141.9268035888672,.1411073816799041,1.310217396737493,234.7059518186113,,,23002.7560184662,0,56.51141965380235,0
Gabon,GAB,Upper Middle Income Economies,72.105,8569.219999999999,.703,2225.728,2225728,1587204,2157230,770000,4.9,Medium,.05,0,49,215.01914978,5,0,0,11.11,0,Universal availability,572672,311244,25.73,13.984,257471,11.568,,3,23mar2021,307,0,,5,All eligible groups are fully government-funded,2388997,2592,.11,0,Target not reached,107.7178268432617,.090369951990963,3.6015396804998,36.08055423247421,35.69392229850317,96.92244515053052,2201.167438249418,0,13.79323978491532,0
United Kingdom of Great Britain and Northern Ireland,GBR,High Income Economies,108.497,46200.26,.9320000000000001,67886.004,67886004,194744944,216703800,0,2.6,Low,,,88,4312.88916016,5,575354101.3,16088688901.08,5.56,0,Universal availability,151248820,53813491,222.8,79.068,50762968,74.586,,3,21dec2020,226645,0,92.5762414932251,5,All eligible groups are fully government-funded,67508936,40373987,59.81,1,Target reached,669.3427124023438,.0230994371027349,.24744433728049,77.66508176972235,0,319.2171982902396,36265.01274106515,0,333.8611593635707,0
Georgia,GEO,Upper Middle Income Economies,54.246,4807.95,.8120000000000001,3989.175,3989175,3809837,3597590,809570,4.1,Medium,.3,.2,65,291.12203979,5,0,0,5.56,0,Universal availability,2738178,1300473,68.59999999999999,32.6,1186709,29.748,,4,17mar2021,17087,0,92.70240068435669,5,All eligible groups are fully government-funded,3744385,80818,2.16,0,Target not reached,142.2465515136719,.1610665668320178,2.660052810012636,71.87126378372618,22.50312014431884,90.18380993563832,46217.7517907838,0,428.334179372928,0
Guernsey,GGY,Unclassified Economies,,,,,,,,,,,,,,,,,,,,,178525,54223,276.92,84.108,52710,81.761,,3,,67,0,,,,63329,69339,109.49,1,Target reached,,,,,,,,,,
Ghana,GHA,Lower Middle Income Economies,83.541,2413.1,.611,31072.945,31072945,30986423,33415883,3010000,4.8,Medium,.92,3.2,45,75.28166199,5,0,220000000,33.38,0,Universal availability,22384226,13221421,72.038,42.55,10170298,32.73,,2,02mar2021,1462,0,,5,All eligible groups are fully government-funded,33475870,4062970,12.14,0,Target not reached,145.0153350830078,.2254361609547885,7.226195405625635,72.2388189175627,9.007692539502846,107.5401221223157,552.4194761713123,0,4.705057727872269,0
Gibraltar,GIB,High Income Economies,,,,33.691,33691,135963,,,,,,,,,,,,,,,132810,42175,394.2,125.182,41465,123.074,,2,,113,0,,,,32677,49170,150.47,1,Target reached,,,,97.6809867390393,,,60995.51809088481,0,335.4011457065685,0
Guinea,GIN,Low Income Economies,47.467,1168.18,.477,13132.792,13132792,9605983,10843335,418000,6,High,.48,8.300000000000001,37,43.03782271999999,5,0,0,25.45,0,Universal availability,10645240,7679918,81.05800000000001,58.479,4725982,35.986,,6,05mar2021,468,0,97.9062020778656,5,All eligible groups are fully government-funded,13859349,302545,2.18,0,Target not reached,149.5261840820313,.4444520536218733,12.06380730219245,110.8188511264282,3.854902573793026,82.56686773079174,293.6390068463735,0,3.563598662036222,0
Guadeloupe,GLP,Unclassified Economies,,,,400.127,400127,,,,,,,,,,,,,,,,400129,152113,100.001,38.016,146098,36.513,,7,08jan2021,1017,0,86.27020120620728,,,395762,,,,Not available,,,,,,,50692.90500266166,0,254.1693012468541,0
Gambia,GMB,Low Income Economies,82.313,819.22,.496,2416.664,2416664,842326,2248462,130600,5.8,High,3.08,49.5,48,29.72580338000001,5,0,0,11.11,0,Universal availability,1444492,674314,59.772,27.903,539186,22.311,,2,10mar2021,372,0,,5,All eligible groups are fully government-funded,2705995,53741,1.99,0,Target not reached,135.5720367431641,.6337735895119748,17.46630674242184,171.4884735838618,5.808414818662713,93.03990956127952,522.4557489166884,0,15.39312043378806,0
Guinea-Bissau,GNB,Low Income Economies,79.137,858.04,.48,1967.998,1967998,1412052,1674070,522070,6.2,High,3.66,80.7,37,62.57557677999999,,,,,,,824250,733271,41.883,37.26,533741,27.121,,2,02apr2021,177,0,,,,2105580,48801,2.32,0,Target not reached,162.2229766845703,.6050999953382127,8.297166829566379,58.37249619702391,31.18567323947027,85.0646189681087,488.5167566227202,0,8.993911579178434,0
Equatorial Guinea,GNQ,Upper Middle Income Economies,42.703,8625.76,.592,1402.985,1402985,762933,587990,300000,5.9,High,1.35,2.4,43,254.89109802,,,,,,,488738,270109,34.836,19.252,214032,15.255,,2,12feb2021,183,0,,,,1674916,4597,.27,0,Target not reached,59.31480407714844,.0897775964088961,3.038160241827028,64.0604089743136,51.02127587203864,41.90992776116637,1220.968150051497,0,13.04361771508605,0
Greece,GRC,High Income Economies,206.688,19827.16,.888,10423.056,10423056,28242654,36181460,0,3.3,Low,,,78,1500.5949707,5,0,3242505,11.11,100,Universal availability,21982946,7916291,205.1,73.85599999999999,7744496,72.253,,7,23dec2020,37014,0,87.90606260299683,5,All eligible groups are fully government-funded,10384972,7122261,68.58,1,Target reached,632.304443359375,.0538251570068532,.7111845773427928,77.8359781626755,0,347.1290953440143,58395.3496939861,0,355.1165800126182,0
Grenada,GRD,Upper Middle Income Economies,70.19,9575.34,.779,112.519,112519,207416,228702,91100,3.6,Medium,6.15,3.4,70,534.2744140600001,,,,,,,90686,44241,80.593,39.317,39034,34.69,,5,15feb2021,238,0,37.99999952316284,,,125459,7411,5.91,0,Target not reached,202.3642883300781,.0808744128145841,1.449442420637858,43.72179581131639,39.83349511591504,203.2563389294253,17501.93300686995,0,211.5198322061163,0
Greenland,GRL,High Income Economies,,,,56.772,56772,,,,,,,,,,5,0,19012.19999999998,11.11,0,Universal availability,79738,41227,140.453,72.619,38511,67.834,,1,,21,0,76.66789889335632,5,All eligible groups are fully government-funded,56494,,,1,Target reached,,,,,,,21086.09878108927,0,36.99006552525893,0
Guatemala,GTM,Upper Middle Income Economies,32.059,4542.25,.663,17915.567,17915567,22460112,22509816,10652000,4.8,Medium,.52,.6,57,271.02127075,5,0,0,36.57,0,Universal availability,20370595,8935137,113.703,49.874,7127944,39.786,,5,25feb2021,20202,2,95.24938464164734,5,All eligible groups are fully government-funded,17843914,4302176,24.11,0,Target not reached,128.1992340087891,.1704881941768947,2.857340303427088,90.6967650027747,47.32157739539053,125.6438939387182,6995.474940871255,6.190147372952249,112.7622698181978,.0111634758754775
French Guiana,GUF,Unclassified Economies,,,,298.682,298682,,,,,,,,,,,,,,,,242193,100299,81.087,33.581,90464,30.288,,3,13jan2021,413,0,,,,304568,,,,Not available,,,,,,,32824.54249000609,0,138.2741511038496,0
Guam,GUM,High Income Economies,,,,168.783,168783,,,,,,,,,,5,0,0,0,0,Universal availability,352698,135612,208.975,80.351,128788,76.30800000000001,,3,04jan2021,413,0,,5,All eligible groups are fully government-funded,171783,,,,Not available,,,,,,,30555.80242085992,78.7994051533626,244.6928896867576,0
Guyana,GUY,Upper Middle Income Economies,47.027,9369.01,.6820000000000001,786.559,786559,1257492,1280147,427650,3.6,Medium,.12,.1,74,325.88516235,5,0,3589867.220000001,18.52,25,Universal availability,960133,495285,122.069,62.969,381984,48.564,,7,11feb2021,1298,0,80.01229763031006,5,All eligible groups are fully government-funded,808727,82864,10.25,1,Target reached,252.1019287109375,.0826554780067478,2.376297203639778,76.35301059569365,33.40631974296701,162.7528259164284,9313.605209526559,2.16131275594075,165.0225857182996,0
"China, Hong Kong Special Administrative Region",HKG,High Income Economies,2.132,49485.08,.949,7496.988,7496988,21353276,,,,,,,,,5,0,14322225,11.11,75,Universal availability,,,,,,,,,,,,66.66809916496277,5,All eligible groups are fully government-funded,7488863,7088733,94.66,1,Target reached,280.5449523925781,.0215660962859917,,,,,,,,
Heard Island and McDonald Islands,HMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,Lower Middle Income Economies,58.853,2602.17,.634,9904.608,9904608,17276147,18811114,588100,4.9,Medium,,,63,187.55433655,5,309023.49,0,23.15,75,Universal availability,16901540,6485671,170.643,65.48099999999999,5751048,58.064,,6,22feb2021,11116,0,96.92515134811401,5,All eligible groups are fully government-funded,10432858,4527637,43.4,1,Target reached,215.464599609375,.209056287636857,2.900492785220007,97.83165193025968,3.126343288334758,189.9228520704706,4771.70827962096,0,112.230590044553,0
Croatia,HRV,High Income Economies,87.02200000000001,15807.7,.851,4105.268,4105268,8875563,9760010,0,3.5,Medium,,,73,1040.08569336,5,0,3292815,11.11,0,Universal availability,5432534,2320087,133.9,57.205,2246484,55.357,,6,23dec2020,18266,11,72.8442907333374,5,All eligible groups are fully government-funded,4030361,594785,14.76,1,Target reached,632.304443359375,.0675114026708503,1.02606930064811,61.20776789032989,0,237.7435529178607,31030.1544259717,1.851279867721182,444.9405008394093,.2679484019070131
Haiti,HTI,Lower Middle Income Economies,24.947,1691.83,.51,11402.533,11402533,1053756,1124700,0,6.6,Very High,1.89,25.4,47,56.99440002,3,0,0,31.48,0,Availability for ALL of following: key workers/ clinically vulnerable groups (non elderly)/elderly groups,664150,521396,5.825,4.573,350403,3.073,,2,,860,0,66.27470254898071,5,All eligible groups are fully government-funded,11585003,,,0,Target not reached,100,.3215453089258377,9.544797380253218,63.02692463910051,0,9.863597851459845,300.2929261419371,0,7.542183828803653,0
Hungary,HUN,High Income Economies,76.584,18527.59,.854,9660.35,9660350,32654029,33126296,0,3.4,Low,,,73,1062.39416504,5,0,19959700,11.11,0,Universal availability,16569954,6358513,169.6,65.08499999999999,6151876,62.97,,8,23dec2020,48789,0,,5,All eligible groups are fully government-funded,9967304,4316982,43.31,1,Target reached,704.9625244140625,.0576005837780305,1.004523589377789,50.74398016857277,0,342.9098945690373,22803.3870408422,0,505.0438131123614,0
Indonesia,IDN,Lower Middle Income Economies,41.396,4224.98,.718,273523.621,273523621,480316796,490597955,20825330,4.5,Medium,,,59,120.12496185,5,0,338558,14.93,100,Universal availability,447595845,203845350,163.641,74.526,174893201,63.941,,7,13jan2021,161804,33,95.65842747688293,5,All eligible groups are fully government-funded,275501344,68857294,24.99,1,Target reached,216.6029510498047,.1287580059550578,4.528617463198803,93.18763131489575,4.244887241733407,179.3621893445174,2489.41205703035,.5911738057898845,59.15540288931756,.0120647715467323
Isle of Man,IMN,High Income Economies,,,,85.032,85032,,,,,,,,,,,,,,,,189994,69560,223.438,81.804,67106,78.919,,3,,116,0,,,,84534,53328,63.08,1,Target reached,,,,,,,44698.46645968576,0,136.4192304073761,0
India,IND,Lower Middle Income Economies,90.601,2116.44,.645,1380004.385,1380004385,2313058995,2426990880,0,4.6,Medium,.31,1.6,61,63.74832153,5,1410000000,130205680,28.7,0,Universal availability,2206710296,1025819990,159.906,74.33499999999999,952117967,68.994,,8,16jan2021,531884,14,97.77184128761292,5,All eligible groups are fully government-funded,1417173120,227315428,16.04,1,Target reached,200.7773590087891,.2570353990663568,8.533558012880281,95.402248743768,0,175.8683455197862,3260.270799791698,.0936228909156691,38.54219637135428,.0010144895300459
British Indian Ocean Territory,IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,High Income Economies,57.35,102394.02,.955,4937.796,4937796,16335952,16347750,0,3,Low,,,83,5428.588867190001,5,12428000,33433914,5.56,0,Universal availability,12377654,4107919,249.3,85.48999999999999,4062518,81.83199999999999,,5,30dec2020,8979,19,92.95949935913086,5,All eligible groups are fully government-funded,5023108,3193109,63.57,1,Target reached,632.304443359375,.0104224836567604,.1965888421667148,75.76940725584895,0,331.0738232199143,34684.58397228237,2.36947820444587,181.8422632283715,.3847870588416371
Iran (Islamic Republic of),IRN,Lower Middle Income Economies,33.599,12725.04,.783,83992.95299999999,83992953,160610824,173564394,12065420,3.7,Medium,.33,.2,77,470.4346008300001,5,0,0,53.94,0,Universal availability,155369703,65176523,184.979,77.598,58562317,69.723,,12,09feb2021,146267,10,,5,All eligible groups are fully government-funded,88550568,28562352,32.26,1,Target reached,223.5399169921875,.0427503567768746,1.156377526313342,96.73675729351841,6.951552517159712,206.6416143268591,9062.582905020616,.2238283014052381,174.1419902214892,.0119057607130446
Iraq,IRQ,Upper Middle Income Economies,59.405,4892.96,.674,40222.503,40222503,20099642,21583161,750000,4.9,Medium,.04,0,55,253.31463623,5,0,0,16.67,0,Universal availability,19557364,11332925,48.623,28.176,7944775,19.752,,10,02mar2021,25375,0,25.99999904632568,5,All eligible groups are fully government-funded,44496124,275280,.62,0,Target not reached,93.93275451660156,.1582682057486675,3.057067730175979,97.30205144947358,3.474931220686349,53.65941796312378,6129.765221224547,0,63.08657618845848,0
Iceland,ISL,High Income Economies,75.81,68843.64999999999,.949,341.25,341250,1157055,1644290,0,2.5,Low,,,87,6274.959472660001,5,0,0,5.56,0,Universal availability,869976,307269,238.9,84.40300000000001,297921,81.816,,5,30dec2020,260,0,90.95550179481506,5,All eligible groups are fully government-funded,372903,250542,67.19,1,Target reached,363.4581909179688,.0155017928305661,.1700728115695075,75.18881989188067,0,481.8432234432234,61301.39194139194,0,76.19047619047619,0
Israel,ISR,High Income Economies,73.246,49840.25,.919,8655.540999999999,8655541,18962183,20506747,0,2.7,Low,,,84,3456.386962890001,5,0,141155058.19,14.81,75,Universal availability,15026951,7055466,173.6,81.514,6385731,73.776,,3,16dec2020,12540,1,91.66759848594666,5,All eligible groups are fully government-funded,9449000,5766304,61.03,1,Target reached,554.0527954101563,.0214124126584437,.3087617247310985,79.24694640907116,0,236.9204536146267,55765.2028914195,4.37869799241896,144.8782924140733,.0115532928559867
Italy,ITA,High Income Economies,154.753,35584.88,.892,60461.828,60461828,145075111,157546088,0,3.2,Low,,,83,2905.5,5,0,5953246,21.99,25,Universal availability,150311519,50580760,252,84.812,49483812,82.96899999999999,,9,23dec2020,190517,35,93.20034980773926,5,All eligible groups are fully government-funded,59037472,47741354,80.87,1,Target reached,748.2609252929688,.0299902655285054,.367303390122182,103.6094461440736,0,260.5711623538739,42788.70463526177,6.418926004023564,315.1029439599478,.0578877634993107
Jamaica,JAM,Upper Middle Income Economies,95.812,5421.64,.734,2961.161,2961161,3981763,3786630,1617760,4.1,Medium,.86,.4,70,327.40353394,5,1200000,41248350.13,11.11,0,Universal availability,1525895,858035,51.53,28.976,758800,25.625,,6,10mar2021,3550,1,,5,All eligible groups are fully government-funded,2827382,46004,1.63,0,Target not reached,186.1049041748047,.1428350093329694,2.365276851721206,38.32209501168201,42.72294890179394,127.8765322115211,5235.311420081515,1.114427753168436,119.8854098105439,.0337705379748011
Jersey,JEY,Unclassified Economies,,,,,,,,,,,,,,,,,,,,,266953,84365,247.646,78.264,81882,75.95999999999999,,3,,161,0,,,,110796,73662,66.48,1,Target reached,,,,,,,,,,
Jordan,JOR,Upper Middle Income Economies,90.88800000000001,4393.64,.729,10203.14,10203140,10190977,11063772,1200000,4.3,Medium,.85,.5,60,334.04421997,5,0,0,0,0,Universal availability,10057975,4821579,98.577,47.256,4558313,44.676,,10,13jan2021,14122,0,92.78680086135864,5,All eligible groups are fully government-funded,11285875,682211,6.04,1,Target reached,128.3252716064453,.1762547682559336,2.318255948477563,98.69490432565985,10.8462104967456,108.4349719792142,17122.15063206033,0,138.4083723245981,0
Japan,JPN,High Income Economies,256.86,40704.3,.919,126476.458,126476458,318795073,418068230,0,2.3,Low,,,85,4360.473632809999,5,840442222757.26,8269849765,33.33,50,Universal availability,392346325,104715237,310.213,82.794,103392920,81.749,,4,17feb2021,74694,0,92.68102645874023,5,All eligible groups are fully government-funded,123951696,175662262,141.72,1,Target reached,667.9846801757813,.0262183602223844,.2447440553177407,123.0716401316529,0,330.5502356810151,26727.16530375954,0,59.05763110475468,0
Kazakhstan,KAZ,Upper Middle Income Economies,25.176,10144.68,.825,18776.707,18776707,22769257,23220549,360000,3,Low,.58,.4,76,272.96524048,5,6000000,0,5.56,0,Universal availability,33732027,12385925,179.6,65.964,13067200,69.593,,5,07apr2021,19072,0,78.75699996948242,5,All eligible groups are fully government-funded,19397998,2514071,12.96,1,Target reached,140,.07633557687379,2.836991254411163,148.1472452087479,1.550350941314953,123.6667803358704,8003.836881514953,0,101.5726559508012,0
Kenya,KEN,Lower Middle Income Economies,69.73,2198.59,.601,53771.3,53771300,35229339,34440805,5459500,5.6,High,.66,1.9,56,83.41162871999998,5,0,1900000,22.77,0,Universal availability,23750431,14494372,44.169,26.956,11090440,20.625,,5,05mar2021,5688,0,,5,All eligible groups are fully government-funded,54027484,2000636,3.7,0,Target not reached,117.4657821655273,.2474313082475587,6.521872409734672,67.41662396788087,15.85183621579112,64.05053439288245,638.4669888955632,0,10.57813368841743,0
Kyrgyzstan,KGZ,Lower Middle Income Economies,67.55500000000001,1224.75,.697,6524.191,6524191,6365202,6369620,2270200,3.8,Medium,.89,2.5,70,62.14477539000001,5,50861786,0,11.11,75,Universal availability,3111072,1508959,47.7,23.129,1326178,20.327,,6,31mar2021,2991,0,64.42549824714661,5,All eligible groups are fully government-funded,6630621,,,0,Target not reached,158.0767822265625,.4441722800571545,8.753752774646562,48.87624933191437,35.64105865028055,97.63080204120327,3171.121139770433,0,45.84476450796735,0
Cambodia,KHM,Lower Middle Income Economies,36.961,1647.02,.594,16718.971,16718971,49434476,50730495,18735800,4.9,Medium,,,61,113.31044006,5,0,0,5.56,12.5,Universal availability,47030856,15288684,281.302,91.44499999999999,14660594,87.688,,7,10feb2021,3056,0,97.81799912452698,5,All eligible groups are fully government-funded,16767851,10647839,63.5,1,Target reached,444.4776306152344,.3302934997753519,4.800969793356569,95.13776579729499,36.93202678191884,303.4307254914193,830.2125770778596,.1315870456381556,18.27863688500925,0
Kiribati,KIR,Lower Middle Income Economies,20.94,1927.08,.63,119.446,119446,235748,316500,103000,5.9,High,16.12,11.2,51,172.30574036,5,0,0,0,0,Universal availability,219980,100900,184.162,84.471,81474,68.208,,2,26may2021,24,0,,5,All eligible groups are fully government-funded,131237,37606,28.66,1,Target reached,267.0610046386719,.2822923801814144,3.157178622507966,93.31150211242513,32.5434439178515,264.9732933710631,4216.96833715654,0,20.09276158263986,0
Saint Kitts and Nevis,KNA,High Income Economies,61.704,16917.16,.779,53.192,53192,79462,70727,43000,3.2,Low,,,72,1087.80102539,,,,,,,64297,33794,120.877,63.532,27000,50.76,,3,22feb2021,46,0,,,,47681,3503,7.35,1,Target reached,131.9388885498047,.0630838745983368,.9810617705727812,80.91540610606327,60.79714960340464,132.9654835313581,12411.64084824786,0,86.47916979996992,0
Republic of Korea,KOR,High Income Economies,51.297,35195.52,.916,51269.183,51269183,151150195,177677540,1413000,2.9,Low,,,87,2624.53320313,5,61600000,7698257367,11.11,50,Universal availability,135852851,44894318,264.98,87.566,42969958,83.812,,5,26feb2021,34815,61,70.67939937114716,5,All eligible groups are fully government-funded,51815808,41325954,79.76000000000001,1,Target reached,441.2411499023438,.0303220409870347,.4066246899552518,89.87937527966801,.795260897916529,346.5581653602711,61991.77388880958,154.4104964574918,67.90628982716576,.1189798557936841
Kuwait,KWT,High Income Economies,7.909,27927.16,.806,4270.563,4270563,9179129,9084518,0,3.8,Medium,,,70,1758.67419434,5,60000000,0,5.56,37.5,Universal availability,8260442,3457104,193.427,80.952,3345815,78.346,,10,28dec2020,2570,0,98.65080118179321,5,All eligible groups are fully government-funded,4268886,1457523,34.14,1,Target reached,208.2133483886719,.038213695914658,.6068207536305503,89.991566737977,0,212.7241302844613,15593.77534062839,.257577279623319,60.17941896653907,0
Lao People's Democratic Republic,LAO,Lower Middle Income Economies,70.92100000000001,2625.61,.613,7275.556,7275556,17934791,18247100,11388740,4.7,Medium,,,50,68.22131347999998,5,0,0,28.61,75,Universal availability,13879410,6324678,190.768,86.93000000000001,5691962,78.23399999999999,,8,25nov2020,671,0,99.14479851722717,5,All eligible groups are fully government-funded,7529477,,,1,Target reached,253.5193176269531,.2071899482405994,7.97404758498942,77.38818924625328,62.41397263126743,250.8000763103191,2999.976908981252,.5222968526391659,9.222662845286326,0
Lebanon,LBN,Upper Middle Income Economies,,,.744,6825.442,6825442,7650494,6689935,2224190,5,High,,,72,663.0510864300001,5,34000000,0,16.67,0,Universal availability,5814699,2740227,85.19199999999999,40.147,2414223,35.371,,10,14feb2021,10914,0,87.81906366348267,5,All eligible groups are fully government-funded,5489744,660249,12.03,1,Target reached,130.4987945556641,,1.16793413938815,76.0042292693779,33.24681032027964,98.0146780237822,18131.51441327902,0,159.9017323713248,0
